Attribute,Attribute type,Acceptable values
Service options: Language assistance (languages_spoken): French (french_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): German (german_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Haitian Creole (haitian_creole_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Hindi (hindi_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Italian (italian_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Korean (korean_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Mandarin (mandarin_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Polish (polish_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Portuguese (portuguese_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Romanian (romanian_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Russian (russian_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Spanish (spanish_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Ukrainian (ukrainian_spoken),Yes/no,"Yes, No"
Service options: Language assistance (languages_spoken): Vietnamese (vietnamese_spoken),Yes/no,"Yes, No"
Service options: Meal service (has_meal_service),Yes/no,"Yes, No"
Service options: No-contact delivery (has_no_contact_delivery),Yes/no,"Yes, No"
Service options: Online appointments (offers_online_appointments),Yes/no,"Yes, No"
Service options: Online classes (offers_online_classes),Yes/no,"Yes, No"
Service options: Online estimates (offers_online_estimates),Yes/no,"Yes, No"
Service options: Onsite services (has_onsite_services),Yes/no,"Yes, No"
Service options: Outdoor seating (has_seating_outdoors),Yes/no,"Yes, No"
Service options: Outdoor services (has_outdoor_services),Yes/no,"Yes, No"
Service options: Same-day delivery (has_delivery_same_day),Yes/no,"Yes, No"
Service options: Takeout (has_takeout),Yes/no,"Yes, No"
Service options: Visits patients (offers_home_visits),Yes/no,"Yes, No"
Service options: White glove service (has_white_glove_service),Yes/no,"Yes, No"
Place page URLs: Appointment links (url_appointment),URL,
Place page URLs: COVID-19 info link (url_covid_19_info_page),URL,
Place page URLs: Facebook (url_facebook),URL,
Place page URLs: Instagram (url_instagram),URL,
Place page URLs: Inventory search URL (url_inventory_search),URL,
Place page URLs: Linkedin (url_linkedin),URL,
Place page URLs: Menu or services link (url_menu),URL,
Place page URLs: Order ahead links (url_order_ahead),URL,
Place page URLs: Pinterest (url_pinterest),URL,
Place page URLs: Reservations links (url_reservations),URL,
Place page URLs: Texting number (url_text_messaging),URL,
Place page URLs: Tiktok (url_tiktok),URL,
Place page URLs: Twitter (url_twitter),URL,
Place page URLs: WhatsApp (url_whatsapp),URL,
Place page URLs: Youtube (url_youtube),URL,
Amenities: Bath towels for day-use visitors (day_use_bath_towel_availability),Selection,"No (day_use_bath_towel_unavailable), Yes (day_use_bath_towel_available), Yes (free) (day_use_bath_towel_free), Yes (paid) (day_use_bath_towel_paid)"
Amenities: Body wash (body_wash_availability),Selection,"No (body_wash_unavailable), Yes (body_wash_available), Yes (free) (body_wash_free), Yes (paid) (body_wash_paid)"
Amenities: Hair conditioner (hair_conditioner_availability),Selection,"No (hair_conditioner_unavailable), Yes (hair_conditioner_available), Yes (free) (hair_conditioner_free), Yes (paid) (hair_conditioner_paid)"
Amenities: Hair dryers (hair_dryer_availability),Selection,"No (hair_dryer_unavailable), Yes (hair_dryer_available), Yes (free) (hair_dryer_free), Yes (paid) (hair_dryer_paid)"
Amenities: Hand towels for day-use visitors (day_use_hand_towel_availability),Selection,"No (day_use_hand_towel_unavailable), Yes (day_use_hand_towel_available), Yes (free) (day_use_hand_towel_free), Yes (paid) (day_use_hand_towel_paid)"
Amenities: In-room kitchens (kitchen_in_room),Selection,"All rooms (kitchens_in_all_rooms), Some rooms (kitchens_in_some_rooms)"
Amenities: Loungewear for day-use visitors (day_use_loungewear_availability),Selection,"No (day_use_loungewear_unavailable), Yes (day_use_loungewear_available), Yes (free) (day_use_loungewear_free), Yes (paid) (day_use_loungewear_paid)"
Amenities: Shampoo (shampoo_availability),Selection,"No (shampoo_unavailable), Yes (shampoo_available), Yes (free) (shampoo_free), Yes (paid) (shampoo_paid)"
Amenities: Wi-Fi (wi_fi),Selection,"Free (free_wi_fi), Paid (paid_wi_fi)"
